id,factor,fleet,value
22-1979-estInitF-v2,4,1,0.1
22-1979-estInitF-v2,7,1,0.1
22-1979-estInitF-v2,4,2,0.0833333
22-1979-estInitF-v2,7,2,0.1
22-1979-estInitF-v2,4,3,0.1
22-1979-estInitF-v2,7,3,0.1
22-1979-estInitF-v2,4,4,0.1
22-1979-estInitF-v2,7,4,0.1
22-1979-estInitF-v2,4,5,0.1
22-1979-estInitF-v2,7,5,0.1
22-1979-estInitF-v2,4,6,0.0555556
22-1979-estInitF-v2,7,6,0.1
22-1979-estInitF-v2,4,7,0.1
22-1979-estInitF-v2,7,7,0.1
22-1979-estInitF-v2,4,8,0.1
22-1979-estInitF-v2,7,8,0.1
22-1979-estInitF-v2,4,9,0.1
22-1979-estInitF-v2,7,9,0.0833333
22-1979-estInitF-v2,4,10,0.1
22-1979-estInitF-v2,7,10,0.0434783
22-1979-estInitF-v2,4,11,0.0625
22-1979-estInitF-v2,7,11,0.1
22-1979-estInitF-v2,4,12,0.0294118
22-1979-estInitF-v2,7,12,0.1
22-1979-estInitF-v2,4,13,0.1
22-1979-estInitF-v2,7,13,0.1
22-1979-estInitF-v2,4,14,0.1
22-1979-estInitF-v2,7,14,0.1
22-1979-estInitF-v2,1,15,0.190777
22-1979-estInitF-v2,4,15,0.0666667
22-1979-estInitF-v2,7,15,0.0666667
