id,Yr,SpawnBio,bias_adjusted,pred_recr
45-CAAL-revASPM-15,1942,231422000,3265030,3265050
45-CAAL-revASPM-15,1943,231422000,3265030,3265040
45-CAAL-revASPM-15,1944,231422000,3265030,3265040
45-CAAL-revASPM-15,1945,231422000,3265030,3265050
45-CAAL-revASPM-15,1946,231422000,3265030,3265060
45-CAAL-revASPM-15,1947,231422000,3265030,3265070
45-CAAL-revASPM-15,1948,231422000,3265030,3265090
45-CAAL-revASPM-15,1949,231422000,3265030,3265120
45-CAAL-revASPM-15,1950,231422000,3265030,3265150
45-CAAL-revASPM-15,1951,231422000,3265030,3265190
45-CAAL-revASPM-15,1952,231426000,3265030,3265390
45-CAAL-revASPM-15,1953,231427000,3265030,3265460
45-CAAL-revASPM-15,1954,231428000,3265030,3265570
45-CAAL-revASPM-15,1955,231424000,3265030,3265710
45-CAAL-revASPM-15,1956,231428000,3265030,3265900
45-CAAL-revASPM-15,1957,231434000,3265040,3266170
45-CAAL-revASPM-15,1958,231441000,3265040,3266520
45-CAAL-revASPM-15,1959,231448000,3265050,3266990
45-CAAL-revASPM-15,1960,231459000,3265060,3267630
45-CAAL-revASPM-15,1961,231473000,3265070,3268490
45-CAAL-revASPM-15,1962,231490000,3265090,3269640
45-CAAL-revASPM-15,1963,231515000,3264370,3270460
45-CAAL-revASPM-15,1964,231548000,3263650,3271810
45-CAAL-revASPM-15,1965,231593000,3262950,3273900
45-CAAL-revASPM-15,1966,231644000,3262250,3276960
45-CAAL-revASPM-15,1967,231705000,3261570,3281350
45-CAAL-revASPM-15,1968,231787000,3260900,3287560
45-CAAL-revASPM-15,1969,231901000,3260260,3296260
45-CAAL-revASPM-15,1970,232060000,3259660,3308310
45-CAAL-revASPM-15,1971,232284000,3259110,3325080
45-CAAL-revASPM-15,1972,232600000,3258650,3348440
45-CAAL-revASPM-15,1973,233044000,3258290,3381080
45-CAAL-revASPM-15,1974,233664000,3258090,3426300
45-CAAL-revASPM-15,1975,234530000,3258090,3483820
45-CAAL-revASPM-15,1976,235738000,3258380,3533390
45-CAAL-revASPM-15,1977,237407000,3259050,3517110
45-CAAL-revASPM-15,1978,239600000,3260130,3437250
45-CAAL-revASPM-15,1979,242045000,3261380,3380210
45-CAAL-revASPM-15,1980,243887000,3262120,3319050
45-CAAL-revASPM-15,1981,244366000,3261760,3263420
45-CAAL-revASPM-15,1982,243594000,3260400,3232590
45-CAAL-revASPM-15,1983,241856000,3258270,3205690
45-CAAL-revASPM-15,1984,239499000,3255600,3229980
45-CAAL-revASPM-15,1985,236964000,3252760,3280840
45-CAAL-revASPM-15,1986,234602000,3250020,3332470
45-CAAL-revASPM-15,1987,232988000,3247890,3319450
45-CAAL-revASPM-15,1988,232481000,3246710,3235570
45-CAAL-revASPM-15,1989,232889000,3246330,3206720
45-CAAL-revASPM-15,1990,233269000,3245920,3252570
45-CAAL-revASPM-15,1991,232745000,3244730,3353850
45-CAAL-revASPM-15,1992,231755000,3243130,3422560
45-CAAL-revASPM-15,1993,231401000,3242080,3447020
45-CAAL-revASPM-15,1994,232420000,3242240,3452930
45-CAAL-revASPM-15,1995,234479000,3243270,3415440
45-CAAL-revASPM-15,1996,236800000,3244500,3310840
45-CAAL-revASPM-15,1997,238781000,3245410,3198660
45-CAAL-revASPM-15,1998,239758000,3245470,3175590
45-CAAL-revASPM-15,1999,239044000,3244150,3214990
45-CAAL-revASPM-15,2000,236762000,3241520,3259520
45-CAAL-revASPM-15,2001,234142000,3238570,3248430
45-CAAL-revASPM-15,2002,232314000,3236250,3173240
45-CAAL-revASPM-15,2003,231475000,3234790,3106280
45-CAAL-revASPM-15,2004,230873000,3233530,3078650
45-CAAL-revASPM-15,2005,229609000,3231680,3071290
45-CAAL-revASPM-15,2006,227598000,3229150,3045690
45-CAAL-revASPM-15,2007,225367000,3227120,3021450
45-CAAL-revASPM-15,2008,223315000,3225220,3022930
45-CAAL-revASPM-15,2009,221394000,3223410,3022620
45-CAAL-revASPM-15,2010,219597000,3221700,3028420
45-CAAL-revASPM-15,2011,218125000,3220270,3035850
45-CAAL-revASPM-15,2012,217024000,3219190,3035010
45-CAAL-revASPM-15,2013,216292000,3218470,3029190
45-CAAL-revASPM-15,2014,215869000,3218050,3038890
45-CAAL-revASPM-15,2015,215602000,3217780,3080340
45-CAAL-revASPM-15,2016,215395000,3217580,3139470
45-CAAL-revASPM-15,2017,215409000,3217590,3188360
45-CAAL-revASPM-15,2018,215997000,3218180,3228950
45-CAAL-revASPM-15,2019,217344000,3219500,3241510
45-CAAL-revASPM-15,2020,219285000,3221400,3222410
45-CAAL-revASPM-15,2021,221511000,3223520,3222610
45-CAAL-revASPM-15,2022,223554000,3257860,3257860
45-CAAL-revASPM-15,2023,225032000,3259240,3259240
