fleet,fleetname,type,area,units,selex,mirror,catch_start,catch_end,catch_kn,catch_mt,index_start,index_end,lencomp_start,lencomp_end,lencomp_nsamp,wcomp_start,wcomp_end,wcomp_nsamp
1,F01_LL.JP.1,1,1,2,24,0,1979,2022,0.419238167111111,25.8713625611111,,,1993,2019,99.57982105,1979,1989,10.2891029
2,F02_LL.JP.2,1,1,2,24,0,-999,2022,1.07234007081667,96.6837703011111,,,1991,2020,431.6628652,1979,1994,7735.6106983
3,F03_LL.JP.3,1,1,2,24,0,1979,2022,0.502931833166667,43.4631831055556,,,1991,2020,313.4284525,1979,1998,973.760026
4,F04_LL.JP.4,1,1,2,24,0,1979,2022,0.0147333062111111,0.918745484444445,,,,,,,,
5,F05_LL.TW.4,1,1,2,5,4,1979,2022,0.1975829352,12.4251665,,,2006,2022,125.33555039,,,
6,F06_LL.AU.2,1,1,2,24,0,1987,2022,0.497186875444445,37.56526475,,,1992,2014,1290.26536992,1997,2022,36337.756707
7,F07_LL.AU.3,1,1,2,24,0,1987,2022,0.267521376555556,21.1585230722222,,,1991,2015,1298.19816766,1998,2022,9545.026567
8,F08_LL.NZ.3,1,1,2,5,7,1990,2022,0.07854971615,6.18250061666667,,,2005,2005,20.481105,,,
9,F09.REC.AU.3,1,1,2,24,0,1979,2022,0.0115499768888889,1.11617415,,,,,,1986,2010,1805
10,F10_REC.NZ.3,1,1,2,1,0,1979,2022,0.141938416666667,14.6569461111111,,,1985,2018,1157,1979,2011,8815
11,F11_LL.ALL.1,1,1,2,5,1,1979,2022,1.86656212222222,116.858905555556,,,1998,2022,6779.90009623,,,
12,F12_LL.ALL.2,1,1,2,24,0,1979,2022,0.877598493888889,57.0083421666667,,,1994,2022,14834.9937977,,,
13,F13_LL.ALL.3,1,1,2,5,3,1979,2022,0.0490276267555556,4.21875074777778,,,2011,2015,22.3466554,,,
14,F14_LL.ALL.4,1,1,2,5,4,1979,2022,0.669548171666667,41.9654449111111,,,2002,2022,683.43639452,,,
15,S01_INDEX.1-4,3,1,2,24,0,,,,,1979,2022,1991,2022,177.2277254,1979,1998,299.0505415
