id,factor,fleet,value
48-CAAL-oneFleet-03,4,1,0.1
48-CAAL-oneFleet-03,7,1,0.1
48-CAAL-oneFleet-03,4,2,0.0833333
48-CAAL-oneFleet-03,7,2,0.1
48-CAAL-oneFleet-03,4,3,0.1
48-CAAL-oneFleet-03,7,3,0.1
48-CAAL-oneFleet-03,4,4,0.1
48-CAAL-oneFleet-03,7,4,0.1
48-CAAL-oneFleet-03,4,5,0.1
48-CAAL-oneFleet-03,7,5,0.1
48-CAAL-oneFleet-03,4,6,0.0555556
48-CAAL-oneFleet-03,7,6,0.1
48-CAAL-oneFleet-03,4,7,0.1
48-CAAL-oneFleet-03,7,7,0.1
48-CAAL-oneFleet-03,4,8,0.1
48-CAAL-oneFleet-03,7,8,0.1
48-CAAL-oneFleet-03,4,9,0.1
48-CAAL-oneFleet-03,7,9,0.0833333
48-CAAL-oneFleet-03,4,10,0.1
48-CAAL-oneFleet-03,7,10,0.0434783
48-CAAL-oneFleet-03,4,11,0.0625
48-CAAL-oneFleet-03,7,11,0.1
48-CAAL-oneFleet-03,4,12,0.0294118
48-CAAL-oneFleet-03,7,12,0.1
48-CAAL-oneFleet-03,4,13,0.1
48-CAAL-oneFleet-03,7,13,0.1
48-CAAL-oneFleet-03,4,14,0.1
48-CAAL-oneFleet-03,7,14,0.1
48-CAAL-oneFleet-03,4,15,0.0666667
48-CAAL-oneFleet-03,7,15,0.0666667
48-CAAL-oneFleet-03,1,16,0.190777
48-CAAL-oneFleet-03,4,16,0.1
48-CAAL-oneFleet-03,7,16,0.1
