id,type,yr,Value,StdDev
03-chg-selex-1979,f,1979,0.214441,0
03-chg-selex-1979,f,1980,0.142675,0
03-chg-selex-1979,f,1981,0.286217,0
03-chg-selex-1979,f,1982,0.275238,0
03-chg-selex-1979,f,1983,0.174434,0
03-chg-selex-1979,f,1984,0.196716,0
03-chg-selex-1979,f,1985,0.199998,0
03-chg-selex-1979,f,1986,0.18621,0
03-chg-selex-1979,f,1987,0.192564,0
03-chg-selex-1979,f,1988,0.234113,0
03-chg-selex-1979,f,1989,0.263719,0
03-chg-selex-1979,f,1990,0.18234,0
03-chg-selex-1979,f,1991,0.160217,0
03-chg-selex-1979,f,1992,0.15875,0
03-chg-selex-1979,f,1993,0.194204,0
03-chg-selex-1979,f,1994,0.305142,0
03-chg-selex-1979,f,1995,0.238268,0
03-chg-selex-1979,f,1996,0.227049,0
03-chg-selex-1979,f,1997,0.217821,0
03-chg-selex-1979,f,1998,0.270212,0
03-chg-selex-1979,f,1999,0.27461,0
03-chg-selex-1979,f,2000,0.244134,0
03-chg-selex-1979,f,2001,0.265959,0
03-chg-selex-1979,f,2002,0.314544,0
03-chg-selex-1979,f,2003,0.401132,0
03-chg-selex-1979,f,2004,0.324493,0
03-chg-selex-1979,f,2005,0.226121,0
03-chg-selex-1979,f,2006,0.207512,0
03-chg-selex-1979,f,2007,0.196698,0
03-chg-selex-1979,f,2008,0.253972,0
03-chg-selex-1979,f,2009,0.265608,0
03-chg-selex-1979,f,2010,0.282905,0
03-chg-selex-1979,f,2011,0.348865,0
03-chg-selex-1979,f,2012,0.356152,0
03-chg-selex-1979,f,2013,0.243608,0
03-chg-selex-1979,f,2014,0.32631,0
03-chg-selex-1979,f,2015,0.286305,0
03-chg-selex-1979,f,2016,0.204908,0
03-chg-selex-1979,f,2017,0.196517,0
03-chg-selex-1979,f,2018,0.222151,0
03-chg-selex-1979,f,2019,0.203271,0
03-chg-selex-1979,f,2020,0.187001,0
03-chg-selex-1979,f,2021,0.158816,0
03-chg-selex-1979,f,2022,0.125584,0
