id,Fleet,Fleet_name,Used,Kind,Sex,Bin,Obs,Exp,Dev,effN,Nsamp_in,Nsamp_adj
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,150,0.2619736733,0.04868341,0.2132902633,290.71039,235.0157,23.50157
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,155,0.1016467435,0.10302796,-0.00138121649999999,331.77699,246.6102,24.66102
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,160,0.4021734015,0.2387252,0.1634482015,351.15549,279.0613,27.90613
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,165,0.6382521629,0.4721191,0.1661330629,384.07279,285.37399,28.537399
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,170,1.1300885506,0.9534842,0.1766043506,413.35692,291.19186,29.119186
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,175,1.0708283504,1.4447412,-0.3739128496,421.77419,293.554,29.3554
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,180,2.0293335107,2.6040206,-0.574687089299999,447.95405,306.64002,30.664002
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,185,2.6420956001,2.894915,-0.2528193999,459.34605,309.90665,30.990665
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,190,3.2405472002,3.32194,-0.0813927998000006,462.19804,313.42835,31.342835
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,195,2.8063412403,2.831015,-0.0246737597000002,462.19804,313.42835,31.342835
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,200,2.3776542108,2.678615,-0.3009607892,462.19804,313.42835,31.342835
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,205,1.6340529807,2.1228386,-0.488785619300001,456.59477,307.85817,30.785817
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,120,0.0215308525,0.000411317,0.0211195355,130.7342,114.13841,11.413841
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,125,0.0374469832,0.000567283,0.0368797002,148.3943,121.59494,12.159494
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,130,0.0004986438,0.000719481,-0.0002208372,148.3943,121.59494,12.159494
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,135,0.0077949227,0.001216619,0.0065783037,148.3943,121.59494,12.159494
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,140,0.0778866021,0.0037979,0.0740887021,170.389,127.41939,12.741939
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,145,0.1213681231,0.012029567,0.1093385561,191.20792,146.52692,14.652692
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,210,1.7057103708,1.5137834,0.1919269708,423.08777,281.00757,28.100757
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,215,1.1277379622,0.8607815,0.2669564622,375.83459,267.92269,26.792269
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,220,0.8523702404,0.5589163,0.2934539404,339.5052,229.50192,22.950192
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,225,0.229254363,0.1757347,0.053519663,241.3029,163.74584,16.374584
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,230,0.1896826004,0.08759429,0.1020883104,182.0866,134.71558,13.471558
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,235,0.1025047606,0.03456921,0.0679355506,115.8723,109.73118,10.973118
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,240,0.0590636904,0.01915062,0.0399130704,93.8776,103.90673,10.390673
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,245,0.0074715704,0.0048263,0.0026452704,76.2175,96.4502,9.64502
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,250,0.0559987,0.00958003,0.04641867,76.2175,96.4502,9.64502
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,80,0.0176889711,0.0001993632,0.0174896079,61.8411,60.3899,6.03899
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,85,0.0001993621,0.0001993636,-1.50000000002362e-09,61.8411,60.3899,6.03899
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,90,0.0001993621,0.0001993642,-2.10000000001138e-09,61.8411,60.3899,6.03899
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,95,0.0001993621,0.0001993661,-4.00000000000877e-09,61.8411,60.3899,6.03899
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,100,0.0001993621,0.0001993768,-1.46999999999984e-08,61.8411,60.3899,6.03899
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,105,0.0001993621,0.0001994391,-7.70000000000198e-08,61.8411,60.3899,6.03899
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,110,0.0347096621,0.0002996065,0.0344100556,80.6387,64.18821,6.418821
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,115,0.0002991525,0.000301212,-2.05950000000001e-06,80.6387,64.18821,6.418821
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,60,0.0146922,9.96712e-05,0.0145925288,36.6934,47,4.7
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,65,9.96711e-05,9.96713e-05,-2.00000000000439e-10,36.6934,47,4.7
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,70,9.96711e-05,9.96714e-05,-3.00000000007434e-10,36.6934,47,4.7
09-relax-growth-v2,3,F03_LL.JP.3,yes,LEN,1,75,9.96711e-05,9.96717e-05,-6.00000000001316e-10,36.6934,47,4.7
09-relax-growth-v2,5,F05_LL.TW.4,yes,LEN,1,120,0.1832969618,0.05797684,0.1253201218,161.00083,95.127137,9.5127137
09-relax-growth-v2,5,F05_LL.TW.4,yes,LEN,1,125,0.1765030529,0.08220238,0.0943006729,183.32103,100.565407,10.0565407
09-relax-growth-v2,5,F05_LL.TW.4,yes,LEN,1,130,0.1857569337,0.11294999,0.0728069437,183.32103,100.565407,10.0565407
09-relax-growth-v2,5,F05_LL.TW.4,yes,LEN,1,135,0.390516213,0.23426094,0.156255273,194.93363,103.484037,10.3484037
09-relax-growth-v2,5,F05_LL.TW.4,yes,LEN,1,140,0.1679879537,0.262214,-0.0942260463,194.93363,103.484037,10.3484037
09-relax-growth-v2,5,F05_LL.TW.4,yes,LEN,1,145,0.2383778531,0.3449483,-0.1065704469,194.93363,103.484037,10.3484037
09-relax-growth-v2,5,F05_LL.TW.4,yes,LEN,1,150,0.4044531034,0.7843107,-0.3798575966,220.2648,106.951927,10.6951927
09-relax-growth-v2,5,F05_LL.TW.4,yes,LEN,1,155,0.7068341732,1.2485153,-0.5416811268,253.57175,122.463067,12.2463067
