id,factor,fleet,value
59-CAAL-NZdblnorm-99,4,1,0.1
59-CAAL-NZdblnorm-99,7,1,0.1
59-CAAL-NZdblnorm-99,4,2,0.0833333
59-CAAL-NZdblnorm-99,7,2,0.1
59-CAAL-NZdblnorm-99,4,3,0.1
59-CAAL-NZdblnorm-99,7,3,0.1
59-CAAL-NZdblnorm-99,4,4,0.1
59-CAAL-NZdblnorm-99,7,4,0.1
59-CAAL-NZdblnorm-99,4,5,0.1
59-CAAL-NZdblnorm-99,7,5,0.1
59-CAAL-NZdblnorm-99,4,6,0.0555556
59-CAAL-NZdblnorm-99,7,6,0.1
59-CAAL-NZdblnorm-99,4,7,0.1
59-CAAL-NZdblnorm-99,7,7,0.1
59-CAAL-NZdblnorm-99,4,8,0.1
59-CAAL-NZdblnorm-99,7,8,0.1
59-CAAL-NZdblnorm-99,4,9,0.1
59-CAAL-NZdblnorm-99,7,9,0.0833333
59-CAAL-NZdblnorm-99,4,10,0.1
59-CAAL-NZdblnorm-99,7,10,0.0434783
59-CAAL-NZdblnorm-99,4,11,0.0625
59-CAAL-NZdblnorm-99,7,11,0.1
59-CAAL-NZdblnorm-99,4,12,0.0294118
59-CAAL-NZdblnorm-99,7,12,0.1
59-CAAL-NZdblnorm-99,4,13,0.1
59-CAAL-NZdblnorm-99,7,13,0.1
59-CAAL-NZdblnorm-99,4,14,0.1
59-CAAL-NZdblnorm-99,7,14,0.1
59-CAAL-NZdblnorm-99,4,15,0.0666667
59-CAAL-NZdblnorm-99,7,15,0.0666667
59-CAAL-NZdblnorm-99,1,16,0.190777
59-CAAL-NZdblnorm-99,4,16,0.1
59-CAAL-NZdblnorm-99,7,16,0.1
